CASEID,recid,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,mar_110,mar_133,mar_134,mar_135,mar_137,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,sfc_01,sfc_02,sfc_03,sfc_04gr,sfc_05,sfc_06,sfc_07,sfc_08,sfc_09,smg_01,smg_02,ttlincg2,famincg2
19078,19078, 2,96,96,6, 8,96,96,1,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 6,2,2
19079,19079,96, 2,96,2, 1,96,96,2,6,6,0,2,2,2,1,3,0,5, 6,2,2,96,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,2,2,1,1,1,2,6,6, 4,6, 5, 5, 5,3, 2,2,2
19080,19080,96,96, 2,1, 2,96,96,1,6,6,0,0,0,0,2,1,2,2, 8,1,1, 2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2, 3,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 4,1,4
19081,19081,96, 6,96,4, 1,10, 5,2,1,1,1,1,1,0,1,1,0,5,10,2,2,96,2,2,0,1,0,1,1,0,0,0,0,1,0,0,5,4,1, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,2,3,2,4,6,2,6, 5,6, 5, 5, 5,3, 3,3,6
19082,19082,96, 1,96,3, 1,96,96,2,5,6,0,2,2,2,1,5,0,5, 6,2,2,96,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2, 8,1,6,6,6,3, 1,6,6,2,96,1,1,1,1,2,2,1,1,4,6,6, 4,6, 4, 5, 6,4, 2,3,3
19083,19083,96,96,96,6, 7, 5, 6,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 7,3,3
19084,19084, 3,96,96,2, 4,96,96,1,6,6,0,0,0,0,2,1,1,7, 9,2,1, 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,9,6,96,9,6,6,6,6,9,9,6,6,6,6,96,6,96,96,96,1,96,2,2
19085,19085,96, 1,96,3, 1, 7, 3,2,1,2,3,3,3,3,1,5,0,5, 3,2,2,96,2,2,1,2,0,0,0,0,0,0,0,0,0,0,5,2,2, 1,1,6,6,6,3, 1,6,6,2,96,1,2,1,2,2,3,1,3,5,6,6, 4,6, 5, 5, 5,3, 2,4,6
19086,19086, 3, 3,96,4, 2, 4, 3,1,1,2,1,1,2,1,1,6,1,5, 9,2,1, 5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,4,1, 1,2,1,6,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 2,2,3
19087,19087,96,96,96,5, 7, 6, 5,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,2,2,2,1,1,5,6,6, 5,6, 5, 4, 6,2, 6,1,3
19088,19088,96,96,96,7, 8,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 2,2,2
